module_name,gene_id
TGFb,ENSMUSG00000002603.15
TGFb,ENSMUSG00000039239.14
TGFb,ENSMUSG00000021253.7
TGFb,ENSMUSG00000024563.16
TGFb,ENSMUSG00000032402.12
TGFb,ENSMUSG00000024515.13
TGFb,ENSMUSG00000025880.11
mTOR,ENSMUSG00000028991.15
mTOR,ENSMUSG00000025583.15
mTOR,ENSMUSG00000050310.9
mTOR,ENSMUSG00000020516.15
mTOR,ENSMUSG00000031490.6
mTOR,ENSMUSG00000001729.14
mTOR,ENSMUSG00000013663.7
Angio,ENSMUSG00000023951.17
Angio,ENSMUSG00000024962.13
Angio,ENSMUSG00000031465.6
CSC,ENSMUSG00000045545.8
CSC,ENSMUSG00000005087.17
