f_ras,C_up,A_up,C_down,A_down
0,-6.17372e-13,-7.16254e-12,0.710451,0.733125
0.0384615,0.000960627,0.00497163,0.710534,0.73324
0.0769231,0.00191948,0.00988736,0.710617,0.733353
0.115385,0.00287664,0.0147484,0.7107,0.733467
0.153846,0.00383216,0.0195558,0.710782,0.733581
0.192308,0.00478613,0.0243109,0.710865,0.733695
0.230769,0.00573859,0.0290145,0.710947,0.733808
0.269231,0.00668961,0.0336678,0.71103,0.733922
0.307692,0.00763924,0.0382718,0.711112,0.734035
0.346154,0.00858755,0.0428274,0.711195,0.734148
0.384615,0.00953457,0.0473355,0.711277,0.734261
0.423077,0.0104804,0.0517971,0.711359,0.734374
0.461538,0.011425,0.056213,0.711442,0.734487
0.5,0.0123684,0.0605841,0.711524,0.7346
0.538462,0.0133108,0.0649112,0.711606,0.734712
0.576923,0.0142521,0.069195,0.711688,0.734825
0.615385,0.0151924,0.0734363,0.71177,0.734937
0.653846,0.0161317,0.077636,0.711852,0.735049
0.692308,0.01707,0.0817946,0.711934,0.735162
0.730769,0.0180074,0.0859129,0.712016,0.735274
0.769231,0.0189439,0.0899916,0.712098,0.735386
0.807692,0.0198796,0.0940313,0.71218,0.735498
0.846154,0.0208145,0.0980328,0.712261,0.735609
0.884615,0.0217486,0.101997,0.712343,0.735721
0.923077,0.0226819,0.105923,0.712425,0.735833
0.961538,0.0236145,0.109814,0.712506,0.735944
1,0.0245464,0.113669,0.712588,0.736055
1.03846,0.0254777,0.117488,0.712669,0.736167
1.07692,0.0264085,0.121273,0.712751,0.736278
1.11538,0.0273388,0.125025,0.712832,0.736389
1.15385,0.0282686,0.128743,0.712913,0.7365
1.19231,0.0291981,0.132429,0.712995,0.73661
1.23077,0.0301274,0.136083,0.713076,0.736721
1.26923,0.0310566,0.139706,0.713157,0.736832
1.30769,0.0319859,0.143299,0.713238,0.736942
1.34615,0.0329154,0.146863,0.713319,0.737052
1.38462,0.0338454,0.150399,0.7134,0.737163
1.42308,0.0347762,0.153907,0.713481,0.737273
1.46154,0.035708,0.15739,0.713562,0.737383
1.5,0.0366412,0.160848,0.713643,0.737493
