param,baseline_value,scale,scaled_value,max_gap,delta_gap_vs_baseline
eta_C,1.2,0.8,0.96,0.3556312971163499,
eta_C,1.2,1.0,1.2,0.37361516618208873,0.0
eta_C,1.2,1.2,1.44,0.39116788866816665,0.01755272248607792
alpha_A,0.4,0.8,0.32000000000000006,0.3518014885093017,
alpha_A,0.4,1.0,0.4,0.37361516618208873,0.0
alpha_A,0.4,1.2,0.48,0.38848507600393206,0.01486990982184333
gamma_T,0.15,0.8,0.12,0.3404056109558098,
gamma_T,0.15,1.0,0.15,0.37361516618208873,0.0
gamma_T,0.15,1.2,0.18,0.4008191635492671,0.02720399736717838
eta_R,0.6,0.8,0.48,0.10926641086045352,
eta_R,0.6,1.0,0.6,0.37361516618208873,0.0
eta_R,0.6,1.2,0.72,0.4407174097380091,0.06710224355592037
K_R,0.35,0.8,0.27999999999999997,0.46324352061724033,
K_R,0.35,1.0,0.35,0.37361516618208873,0.0
K_R,0.35,1.2,0.42,0.08194788847964429,-0.29166727770244444
p_R,2.5,0.8,2.0,0.3690301281271259,
p_R,2.5,1.0,2.5,0.37361516618208873,0.0
p_R,2.5,1.2,3.0,0.376692518551704,0.0030773523696152605
delta_R,0.6,0.8,0.48,0.4519253233870861,
delta_R,0.6,1.0,0.6,0.37361516618208873,0.0
delta_R,0.6,1.2,0.72,0.2425150121137878,-0.13110015406830094
mu_L,0.9,0.8,0.7200000000000001,0.017105084800871362,
mu_L,0.9,1.0,0.9,0.37361516618208873,0.0
mu_L,0.9,1.2,1.08,0.4653443800983771,0.09172921391628835
delta_L,0.6,0.8,0.48,0.4794132797937437,
delta_L,0.6,1.0,0.6,0.37361516618208873,0.0
delta_L,0.6,1.2,0.72,0.06793157590575949,-0.30568359027632924
K_M,0.25,0.8,0.2,0.47941329773602076,
K_M,0.25,1.0,0.25,0.37361516618208873,0.0
K_M,0.25,1.2,0.3,0.0691611973108488,-0.30445396887123993
q_M,3.5,0.8,2.8000000000000003,0.3915124838457987,
q_M,3.5,1.0,3.5,0.37361516618208873,0.0
q_M,3.5,1.2,4.2,0.3594636240934387,-0.014151542088650049
rho_C,0.19140936640162992,0.8,0.15312749312130394,0.3927268967295723,
rho_C,0.19140936640162992,1.0,0.19140936640162992,0.37361516618208873,0.0
rho_C,0.19140936640162992,1.2,0.2296912396819559,0.3518092839901362,-0.021805882191952508
eta_C_M,2.514237275164176,0.8,2.011389820131341,0.2578804291283491,
eta_C_M,2.514237275164176,1.0,2.514237275164176,0.37361516618208873,0.0
eta_C_M,2.514237275164176,1.2,3.017084730197011,0.44771617603729763,0.0741010098552089
K_C,0.44518044879895546,0.8,0.3561443590391644,0.4112135210525155,
K_C,0.44518044879895546,1.0,0.44518044879895546,0.37361516618208873,0.0
K_C,0.44518044879895546,1.2,0.5342165385587465,0.34148973924517484,-0.03212542693691389
n_C,3.196847704513319,0.8,2.5574781636106554,0.34291733323061985,
n_C,3.196847704513319,1.0,3.196847704513319,0.37361516618208873,0.0
n_C,3.196847704513319,1.2,3.836217245415982,0.38293782599285603,0.009322659810767298
delta_C,1.1719249190002172,0.8,0.9375399352001739,0.46420200497351205,
delta_C,1.1719249190002172,1.0,1.1719249190002172,0.37361516618208873,0.0
delta_C,1.1719249190002172,1.2,1.4063099028002606,0.2821342765053871,-0.09148088967670165
beta_A,1.2196193714710315,0.8,0.9756954971768252,0.06907362379247978,
beta_A,1.2196193714710315,1.0,1.2196193714710315,0.37361516618208873,0.0
beta_A,1.2196193714710315,1.2,1.4635432457652378,0.4635528132963792,0.08993764711429048
delta_A,1.1450902641332155,0.8,0.9160722113065725,0.49011708472791754,
delta_A,1.1450902641332155,1.0,1.1450902641332155,0.37361516618208873,0.0
delta_A,1.1450902641332155,1.2,1.3741083169598585,0.06719694585129829,-0.30641822033079047
alpha_T,0.9847651982599328,0.8,0.7878121586079463,1.1932469040631943e-08,
alpha_T,0.9847651982599328,1.0,0.9847651982599328,0.37361516618208873,0.0
alpha_T,0.9847651982599328,1.2,1.1817182379119193,0.46993557534599745,0.09632040916390872
delta_T,1.5779604900256552,0.8,1.2623683920205242,0.5067405011195415,
delta_T,1.5779604900256552,1.0,1.5779604900256552,0.37361516618208873,0.0
delta_T,1.5779604900256552,1.2,1.8935525880307862,2.718375880506052e-07,-0.3736148943445007
eta_M,1.156511907119349,0.8,0.9252095256954793,0.2972517630876277,
eta_M,1.156511907119349,1.0,1.156511907119349,0.37361516618208873,0.0
eta_M,1.156511907119349,1.2,1.3878142885432188,0.4217107158291208,0.048095549647032054
delta_M,0.7177483663678178,0.8,0.5741986930942543,0.4310509522253497,
delta_M,0.7177483663678178,1.0,0.7177483663678178,0.37361516618208873,0.0
delta_M,0.7177483663678178,1.2,0.8612980396413813,0.31254983519946544,-0.06106533098262329
