parameter,nominal_value,C_baseline,C_plus10,C_minus10,sensitivity_C,M_baseline,M_plus10,M_minus10,sensitivity_M,abs_sensitivity
delta_C,1.1517761452743787,0.664888350821814,0.6367470124225453,0.6934590095512645,-0.42647759626576526,0.5720712106477284,0.5571303330394006,0.5855107490792472,-0.2480496790575492,0.42647759626576526
delta_T,1.6190571533208609,0.664888350821814,0.6330066187417549,0.6875983657048523,-0.4105331887347781,0.5720712106477284,0.507063943337828,0.6147003438091829,-0.9407605073281302,0.4105331887347781
alpha_T,0.8887057965314086,0.664888350821814,0.6825347467196766,0.6370359898198938,0.34215336186553347,0.5720712106477284,0.6057413473461006,0.515299784594299,0.7904746915108612,0.34215336186553347
eta_C_M,3.146457420700909,0.664888350821814,0.6856590248804054,0.6407612849513403,0.3376336784481987,0.5720712106477284,0.5820019381273882,0.5593734204353465,0.19777710598668732,0.3376336784481987
delta_A,1.223844822379918,0.664888350821814,0.6418336659906647,0.6812962108513578,-0.2967606878050781,0.5720712106477284,0.5168326758782382,0.6129989113057193,-0.8405093075615245,0.2967606878050781
beta_A,1.3064277678539746,0.664888350821814,0.6761511353197727,0.6486839365240022,0.20655497093474767,0.5720712106477284,0.6001191356786726,0.5328454422717603,0.5879835600426521,0.20655497093474767
K_C,0.43737072822837375,0.664888350821814,0.6549957586103139,0.67677892607222,-0.1638107167540364,0.5720712106477284,0.5670230438252359,0.5778634138294424,-0.094746683650908,0.1638107167540364
eta_M,1.3170379849606464,0.664888350821814,0.6735655553988732,0.6542756704964239,0.14506108340300045,0.5720712106477284,0.5994137882579703,0.5406163277832678,0.5138998378202686,0.14506108340300045
delta_M,0.4772004066350102,0.664888350821814,0.6553378045066464,0.6744334283340581,-0.1436002285482154,0.5720712106477284,0.5436711550889928,0.6022338894423906,-0.5118482914661108,0.1436002285482154
n_C,3.6094813761976314,0.664888350821814,0.6621097773779671,0.6676864137505227,-0.041936637675053665,0.5720712106477284,0.5706748097176805,0.5734607598073652,-0.02434967918181327,0.041936637675053665
rho_C,0.1512553110692525,0.664888350821814,0.666655801427077,0.6630941443672226,0.026783873228130542,0.5720712106477284,0.5729508761149765,0.5711714109352407,0.015552829321029945,0.026783873228130542
